flower,plant_type,color,hardiness_zones,blooms_in,height,soil_needs,sun_needs,water_needs,maintenance,images
Anthurium (Flamingo Flower; Laceleaf),Perennials,"Anthurium plants range in color from red to pink, purple, yellow, white and green.",10-12,"Spring, Autumn, Summer",The plant can grow up to 90 cm (3 ft) in height.,"Anthurium grows best in rich, well drained soil, with a pH between 5.5 and 6.5.","Full sun, Partial sun",avarage,low,"images/anthurium_0.jpg, images/anthurium_1.jpg, images/anthurium_2.jpg, images/anthurium_3.jpg, images/anthurium_4.jpg, images/anthurium_5.jpg, images/anthurium_6.jpg, images/anthurium_7.jpg, images/anthurium_8.jpg"
Aquilegia (Columbine),Perennials,"Columbine flowers are yellow, white, blue, red, pink, purple or a combination of these shades.",3-9,"Spring, Summer",Columbine can grow up to 60 cm (2 ft) tall.,"The plant grows best in moist and well drained soil, with a pH between 6.0 and 7.0. (slightly acidic to neutral). ","Full sun, Partial sun",avarage,low,"images/aquilegia_0.jpg, images/aquilegia_1.jpg, images/aquilegia_2.jpg, images/aquilegia_3.jpg, images/aquilegia_4.jpg, images/aquilegia_5.jpg, images/aquilegia_6.jpg, images/aquilegia_7.jpg, images/aquilegia_8.jpg"
Asclepias (Milkweed),Perennials,"These flowers come in shades of red, purple, pink, orange, yellow and white.",3-9,"Autumn, Summer",The plant reaches heights of 30 cm (1 ft) to 180 cm (6 ft).,"Asclepias thrive best in well-drained soil, with a pH range of 5.0 to 7.0.",Full sun,avarage,low,"images/asclepias_0.jpg, images/asclepias_1.jpg, images/asclepias_2.jpg, images/asclepias_3.jpg, images/asclepias_4.jpg, images/asclepias_5.jpg, images/asclepias_6.jpg, images/asclepias_7.jpg, images/asclepias_8.jpg, images/asclepias_9.jpg, images/asclepias_10.jpg, images/asclepias_11.jpg"
Aster (Starwort; Frost flower),Perennials,"Asters can be white, blue, purple, and red, mostly with yellow centers.",3-9,"Autumn, Summer",Asters are 60-180 cm (2-6 ft) tall.,"Asters grow best in moist and well drained soil, with a pH ranging from 5.5 to 7.5.","Full sun, Partial sun",avarage,medium,"images/aster_0.jpg, images/aster_1.jpg, images/aster_2.jpg, images/aster_3.jpg, images/aster_4.jpg, images/aster_5.jpg, images/aster_6.jpg"
Astilbe (False Goat's Beard),Perennials,"Astilbe flowers are available in white, pink and red.",3-9,"Spring, Autumn, Summer",The plants range in size from 30 cm (1 ft) to 150 cm (5 ft) in height.,"Astilbes thrive best in moist and well drained soil, with a pH level between 6.0 and 8.0.  ","Partial sun, Shade",avarage,low,"images/astilbe_0.jpg, images/astilbe_1.jpg, images/astilbe_2.jpg, images/astilbe_3.jpg, images/astilbe_4.jpg, images/astilbe_5.jpg, images/astilbe_6.jpg, images/astilbe_7.jpg, images/astilbe_8.jpg, images/astilbe_9.jpg, images/astilbe_10.jpg"
Banksia (Australian Honeysuckle),"Perennials, Shrubs, Trees","Banksia flowers are yellow, creamy, orange, red, green, violet or even brown.",9-11,"Spring, Autumn, Winter, Summer","Banksias range from 25 cm (1 ft) to 30 metres (100 feet) in height, depending on the species. ","Banksias will grow in most soil types if given good drainage. However, they will perform best in sandy soils with a pH between 5.5 and 7.0.","Full sun, Partial sun",avarage,low,"images/banksia_0.jpg, images/banksia_1.jpg, images/banksia_2.jpg, images/banksia_3.jpg, images/banksia_4.jpg, images/banksia_5.jpg, images/banksia_6.jpg, images/banksia_7.jpg, images/banksia_8.jpg, images/banksia_9.jpg, images/banksia_10.jpg"
Baptisia (False Indigo),Perennials,"Baptisia come in shades of blue, yellow and white, while many hybrids can be found in a wide variety of colors.",3-9,"Spring, Summer","Baptisia range in size from 30 cm to 1,5 metres (1-5 ft) in height.","Baptisia prefers rich, well drained and slightly acidic soils.",Full sun,avarage,low,"images/baptisia_0.jpg, images/baptisia_1.jpg, images/baptisia_2.jpg, images/baptisia_3.jpg, images/baptisia_4.jpg, images/baptisia_5.jpg, images/baptisia_6.jpg"
Begonia (Begonia),"Annuals, Bulbs, Perennials","Begonia appear in many different colors, but mostly in red, white, yellow, orange and pink.",2-11,"Spring, Autumn, Summer",Begonias can grow from 20 - 60 cm (8 inches to 2 ft).,"Begonias prefer moist, well drained and more acidic soil. They have a low tolerance for drought. ","Partial sun, Shade",avarage,low,"images/begonia_0.jpg, images/begonia_1.jpg, images/begonia_2.jpg, images/begonia_3.jpg, images/begonia_4.jpg, images/begonia_5.jpg, images/begonia_6.jpg, images/begonia_7.jpg, images/begonia_8.jpg"
Bellis (Daisy),Perennials,"Bellis come in shades of white, red, pink and purple. They usually have white petals and a yellow center,",3-10,"Spring, Autumn, Summer","Bellis plants are small, growing up to 20 cm (8 inches) in height.","This plant likes rich, moist and well drained soil. It is not fussy about the soil pH.","Full sun, Partial sun",avarage,low,"images/bellis_0.jpg, images/bellis_1.jpg, images/bellis_2.jpg, images/bellis_3.jpg, images/bellis_4.jpg"
Bergenia (Elephants Ears; Winter Glow; Pigsqueak),Perennials,"Bergenia come in shades of red, pink, purple and white.",3-9,"Spring, Winter, Summer",Bergenia usually grow between 20-60 cm (8 inches to 2 ft) tall.,"Bergenia prefers moist, but well drained soil. It tolerates a wide range of soil conditions.","Full sun, Partial sun",avarage,low,"images/bergenia_0.jpg, images/bergenia_1.jpg, images/bergenia_2.jpg, images/bergenia_3.jpg, images/bergenia_4.jpg, images/bergenia_5.jpg"
Bougainvillea (Bougainvillea),"Climbers, Shrubs, Trees","Bougainvillea bracts come in shades of red, purple, yellow, pink, orange and white. Bougainvillea flowers are generally white.",9-11,"Spring, Autumn, Winter, Summer",Bougainvillea can grow from 60 cm to 12 metres (2 to 40 ft) tall.,"Bougainvillea prefers moist, well drained and slightly acidic soil with a pH of 5.5 to 6.5.",Full sun,low,low,"images/bougainvillea_0.jpg, images/bougainvillea_1.jpg, images/bougainvillea_2.jpg, images/bougainvillea_3.jpg, images/bougainvillea_4.jpg, images/bougainvillea_5.jpg, images/bougainvillea_6.jpg, images/bougainvillea_7.jpg"
Bouvardia (Firecracker bush; Trumpetellia; Hummingbird flower),"Herbs, Shrubs","Bouvardia come in shades of white, yellow, pink, orange and red.",9-11,"Spring, Autumn, Summer","Bouvardia can grow between 60 cm (2 ft) and 1,5 metres (5 ft) tall.","Bouvardia prefer well drained, sandy to clay loam soil.","Full sun, Partial sun",avarage,low,"images/bouvardia_0.jpg, images/bouvardia_1.jpg, images/bouvardia_2.jpg, images/bouvardia_3.jpg, images/bouvardia_4.jpg, images/bouvardia_5.jpg"
Buddleia (Butterfly Bush),"Shrubs, Trees","Buddleia flowers come in shades of purple, blue, white, pink or red.",5-10,"Autumn, Summer","The plant can grow between 30 cm (1 ft) and 5 metres (16 ft) high, depending on species.","Buddleia will grow in almost any soil, but will perform best in moist and well drained soil, with a pH level between 6.0 and 7.0.",Full sun,avarage,low,"images/buddleia_0.jpg, images/buddleia_1.jpg, images/buddleia_2.jpg, images/buddleia_3.jpg, images/buddleia_4.jpg, images/buddleia_5.jpg, images/buddleia_6.jpg, images/buddleia_7.jpg, images/buddleia_8.jpg"
Calendula (Marigold),"Annuals, Herbs, Perennials",Calendula flowers are usually yellow and orange.,2-11,"Spring, Autumn, Winter, Summer","The plant may grow from 30 to 60 cm (1-2 ft) in height, depending on the variety and soil conditions. ","The plant tolerates a wide range of soil conditions, but does best in rich, well-drained soils. The soil pH should be between 5.5 and 7.0.","Full sun, Partial sun",avarage,low,"images/calendula_0.jpg, images/calendula_1.jpg, images/calendula_2.jpg, images/calendula_3.jpg, images/calendula_4.jpg, images/calendula_5.jpg, images/calendula_6.jpg"
Calluna (Heather; Common Heather; Scottish Heather),Shrubs,"Calluna flowers come in shades of red, purple, pink and white.",4-6,Summer,Calluna usually grow between 30-60 cm (1-2 ft) tall.,"Calluna grow best in acidic, moist and well drained soil.",Full sun,avarage,low,"images/calluna_0.jpg, images/calluna_1.jpg, images/calluna_2.jpg, images/calluna_3.jpg, images/calluna_4.jpg"
Camellia (Camellia),"Shrubs, Trees","Camellia offer a large palette of colors, from white to yellow, pink red and purple.",6-10,"Spring, Autumn, Winter","Although its a slow grower, Camellia reaches a height of 1-6 metres (3-20 ft).","Camellia plants will perform best in moist and well drained soil, with a ph between 5.5 and 6.5.","Partial sun, Shade",avarage,low,"images/camellia_0.jpg, images/camellia_1.jpg, images/camellia_2.jpg, images/camellia_3.jpg, images/camellia_4.jpg, images/camellia_5.jpg, images/camellia_6.jpg"
Campanula (Bellflower),"Annuals, Perennials","Depending on the species, Campanula produces white, blue, purple, pink or lilac bells.",3-9,"Spring, Autumn, Summer","Some species grow just 5-10 cm (a few inches) tall, while others can grow 2 metres (6 ft) in height.","Campanula prefers rich, well drained soil.","Full sun, Partial sun",avarage,low,"images/campanula_0.jpg, images/campanula_1.jpg, images/campanula_2.jpg, images/campanula_3.jpg, images/campanula_4.jpg, images/campanula_5.jpg, images/campanula_6.jpg"
Celosia (Celosia),"Annuals, Perennials","Celosia flowers can be purple, red, orange, pink, gold, yellow and white.",2-12,"Autumn, Summer",The plants range from dwarf species to the larger varieties that grow up to 150 cm (5 ft) high.,"Celosia prefers rich, moist and well drained soil. It thrives in clay and is drought tolerant once established. The soil should have a pH level between 6.0 and 7.0.",Full sun,avarage,low,"images/celosia_0.jpg, images/celosia_1.jpg, images/celosia_2.jpg, images/celosia_3.jpg, images/celosia_4.jpg, images/celosia_5.jpg, images/celosia_6.jpg, images/celosia_7.jpg, images/celosia_8.jpg, images/celosia_9.jpg, images/celosia_10.jpg"
Centaurea (Cornflower; Bachelor's Button; Basket Flower),"Annuals, Perennials","Centaurea flowers are traditionally blue in color but are also available in purple, pink, yellow and white.",2-11,"Spring, Summer",Centaurea can reach 30 to 90 cm (1 to 3 ft) in height.,"Centaurea plants prefer moist and well drained soil, with a pH level between 5.5 and 7.0.  However, they are very adaptable and will grow in nutritionally poor soils.","Full sun, Partial sun",avarage,low,"images/centaurea_0.jpg, images/centaurea_1.jpg, images/centaurea_2.jpg, images/centaurea_3.jpg, images/centaurea_4.jpg, images/centaurea_5.jpg, images/centaurea_6.jpg, images/centaurea_7.jpg, images/centaurea_8.jpg, images/centaurea_9.jpg"
Chrysanthemum (Mum),Perennials,"The plant comes in rainbow of colors, but the most common are red, yellow, white and purple.",4-11,"Spring, Autumn",Chrysanthemums range in size from 30 cm (1 ft) to 120 cm (4 ft).,The plant likes moist and well drained soil. The optimal soil pH is between 6.0 and 7.0.,Full sun,avarage,medium,"images/chrysanthemum_0.jpg, images/chrysanthemum_1.jpg, images/chrysanthemum_2.jpg, images/chrysanthemum_3.jpg, images/chrysanthemum_4.jpg, images/chrysanthemum_5.jpg"
Clarkia (Godetia),Annuals,"Clarkia flowers come in a range of colors including red, purple, pink, orange and white.",3-10,"Autumn, Summer",This plant can reach up to 150 cm (5 ft) tall.,"Clarkia grows best in rich, moist, well drained and loamy soils, with a pH between 6.0 and 8.5.","Full sun, Partial sun",low,low,"images/clarkia_0.jpg, images/clarkia_1.jpg, images/clarkia_2.jpg, images/clarkia_3.jpg, images/clarkia_4.jpg, images/clarkia_5.jpg, images/clarkia_6.jpg, images/clarkia_7.jpg, images/clarkia_8.jpg"
Clematis (Travellers Joy; Old Man's Beard),"Climbers, Perennials, Shrubs",Clematis flowers offer a wide range of different colors.,3-11,"Spring, Autumn, Winter, Summer","Clematis range in size from 30 cm (1 ft) to 12 metres (40 ft), depending on species.",Clematis prefers moist and well drained soil. The ideal soil ph is between 5.5 and 7.0.,"Full sun, Partial sun",avarage,low,"images/clematis_0.jpg, images/clematis_1.jpg, images/clematis_2.jpg, images/clematis_3.jpg, images/clematis_4.jpg, images/clematis_5.jpg, images/clematis_6.jpg, images/clematis_7.jpg, images/clematis_8.jpg, images/clematis_9.jpg, images/clematis_10.jpg, images/clematis_11.jpg"
Convallaria (Lily of the Valley),"Bulbs, Perennials","Convallaria blooms are usually white, but sometimes pink.",2-9,"Spring, Summer",Convallaria reaches about 30 cm (1 ft) in height.,"Convallaria will grow best in rich, moist and well drained soil. The plant is not fussy about the soil pH.","Partial sun, Shade",avarage,low,"images/convallaria_0.jpg, images/convallaria_1.jpg, images/convallaria_2.jpg, images/convallaria_3.jpg, images/convallaria_4.jpg, images/convallaria_5.jpg, images/convallaria_6.jpg, images/convallaria_7.jpg, images/convallaria_8.jpg"
Coreopsis (Tickseed; Calliopsis),"Annuals, Perennials","Although usually yellow in color, Coreopsis flowers come in different colors including red, orange, pink, maroon,  lavender. Bi-colored flowers are also possible. ",3-10,"Autumn, Summer",The different varieties of this plant range in height from 15 cm (6 inches) to 120 cm (4 ft).,Coreopsis will thrive in almost any type of soil that is well drained.,Full sun,avarage,low,"images/coreopsis_0.jpg, images/coreopsis_1.jpg, images/coreopsis_2.jpg, images/coreopsis_3.jpg, images/coreopsis_4.jpg, images/coreopsis_5.jpg, images/coreopsis_6.jpg, images/coreopsis_7.jpg, images/coreopsis_8.jpg"
Cosmos (Cosmos),Annuals,"Cosmos flowers come in amazing variety of bright colors, from pink, orange and scarlet to yellow and white.",2-11,"Autumn, Summer",Cosmos can grow between 30-120 cm (1-4 ft) tall.,"Cosmos likes moist, but well drained soil, with a pH between 5.0 and 8.0.",Full sun,avarage,low,"images/cosmos_0.jpg, images/cosmos_1.jpg, images/cosmos_2.jpg, images/cosmos_3.jpg, images/cosmos_4.jpg, images/cosmos_5.jpg"
Crocosmia (Montbretia),"Bulbs, Perennials","Crocosmia flowers are usually in shades of red and orange, but can also be yellow.",5-10,"Autumn, Summer",The plant can grow up to 60 cm (2 ft) tall.,"Crocosmia likes fertile, moist and well drained soil of any pH. However, it will grow in a wide range of conditions.","Full sun, Partial sun",avarage,low,"images/crocosmia_0.jpg, images/crocosmia_1.jpg, images/crocosmia_2.jpg, images/crocosmia_3.jpg, images/crocosmia_4.jpg, images/crocosmia_5.jpg, images/crocosmia_6.jpg, images/crocosmia_7.jpg, images/crocosmia_8.jpg, images/crocosmia_9.jpg"
Crocus (Crocus),Bulbs,"Crocus flowers are white, purple, yellow, cream and there are even striped varieties.",3-9,"Spring, Autumn, Winter",Crocus can reach between 20 and 30 cm (1 ft) in height.,"Although Crocus is tolerant of a wide range of soils, it will grow best in a well drained soil, with a pH between 6.0 and 8.0.","Full sun, Partial sun",avarage,low,"images/crocus_0.jpg, images/crocus_1.jpg, images/crocus_2.jpg, images/crocus_3.jpg, images/crocus_4.jpg, images/crocus_5.jpg, images/crocus_6.jpg, images/crocus_7.jpg, images/crocus_8.jpg"
Cyclamen (Sow bread; Persian violet),"Bulbs, Perennials","Cyclamen flowers are usually white, red, rose, purple or pink.",4-9,"Autumn, Winter",Cyclamens are relatively small plants growing up to 15 cm (6 inches).,"The plants prefer organically rich and well drained soil. Grow them in moist, but not waterlogged soil.",Partial sun,avarage,low,"images/cyclamen_0.jpg, images/cyclamen_1.jpg, images/cyclamen_2.jpg, images/cyclamen_3.jpg, images/cyclamen_4.jpg, images/cyclamen_5.jpg, images/cyclamen_6.jpg, images/cyclamen_7.jpg, images/cyclamen_8.jpg, images/cyclamen_9.jpg, images/cyclamen_10.jpg"
Cymbidium (Cymbidium),Perennials,"Cymbidium comes in various colors such as white, green, yellow, brown, orange, pink and red.",5-10,"Spring, Autumn, Winter","Cymbidium range in size, from dwarf species to some reaching 1,5 metres (5 ft) in height.",This plant can grow in almost any kind of soil that is well drained.,Partial sun,avarage,low,"images/cymbidium_0.jpg, images/cymbidium_1.jpg, images/cymbidium_2.jpg, images/cymbidium_3.jpg"
Dahlia (Dahlia),"Bulbs, Perennials","Dahlias bloom in all colors, except blue.",3-11,"Autumn, Summer","Dahlias vary in height, from the 40 cm (1 ft) right up to 2 metres (7 ft).","Dahlia performs best in rich, moist and well drained soil that is slightly acidic.",Full sun,avarage,medium,"images/dahlia_0.jpg, images/dahlia_1.jpg, images/dahlia_2.jpg, images/dahlia_3.jpg, images/dahlia_4.jpg, images/dahlia_5.jpg, images/dahlia_6.jpg, images/dahlia_7.jpg, images/dahlia_8.jpg, images/dahlia_9.jpg, images/dahlia_10.jpg"
Delosperma (Ice Plant),"Cactus - Succulents, Perennials","It comes in many colors including red, purple, orange, pink, yellow and white.",5-10,"Spring, Autumn, Summer",The plant grows up to 15 cm (6 inches) in height.,"Delosperma likes dry, sandy and poor soils with good drainage. It prefers soils with a pH level between 6.0 and 8.0.",Full sun,low,low,"images/delosperma_0.jpg, images/delosperma_1.jpg, images/delosperma_2.jpg, images/delosperma_3.jpg, images/delosperma_4.jpg, images/delosperma_5.jpg, images/delosperma_6.jpg, images/delosperma_7.jpg, images/delosperma_8.jpg, images/delosperma_9.jpg, images/delosperma_10.jpg"
Delphinium (Larkspur),Perennials,"Delphiniums come in several colors, including blue, red, pink, white, violet, and yellow, but blue is the most common color.",3-7,"Autumn, Summer",Delphinium flower spikes can reach 30 cm to 180 cm (1 to 6 ft) tall. ,"The plant grows best in moist, but well drained soil. The pH of the soil should be neutral to slightly alkaline. ","Full sun, Partial sun",avarage,medium,"images/delphinium_0.jpg, images/delphinium_1.jpg, images/delphinium_2.jpg, images/delphinium_3.jpg, images/delphinium_4.jpg, images/delphinium_5.jpg, images/delphinium_6.jpg, images/delphinium_7.jpg, images/delphinium_8.jpg, images/delphinium_9.jpg, images/delphinium_10.jpg"
Deutzia (Deutzia),Shrubs,"Most species are white, but some are pink or red.",4-8,"Spring, Summer",The plant range in height from 30 cm (1 ft) to 4 metres (13 ft).,Deutzia prefer moist and well drained soil. The plant can grow in a wide range of pH conditions.,"Full sun, Partial sun",avarage,low,"images/deutzia_0.jpg, images/deutzia_1.jpg, images/deutzia_2.jpg, images/deutzia_3.jpg, images/deutzia_4.jpg, images/deutzia_5.jpg, images/deutzia_6.jpg, images/deutzia_7.jpg"
Dianthus (Carnation; Pink; Sweet William),"Annuals, Perennials, Shrubs","Dianthus flowers come in shades of red, pink, purple and white or combinations of these colours. Cultivated species are available in a wider range of colors.",5-9,"Spring, Autumn, Summer",Their height range from just 10 cm to 90 cm (4 inches to 3 ft).,Well drained.,"Full sun, Partial sun",avarage,low,"images/dianthus_0.jpg, images/dianthus_1.jpg, images/dianthus_2.jpg, images/dianthus_3.jpg, images/dianthus_4.jpg, images/dianthus_5.jpg, images/dianthus_6.jpg, images/dianthus_7.jpg, images/dianthus_8.jpg"
Diascia (Twinspur),"Annuals, Perennials","Diascia flowers come in shades of pink, purple, orange, and white, each with a contrasting yellow throat.",7-11,"Spring, Autumn, Summer",The plant grows between 30 cm (1 ft) and 60 cm (2 ft) in height.,"Diascia grows best in soil that is fertile, moist, well drained and slightly acidic, with a pH range of 5.5 to 6.5.","Full sun, Partial sun",avarage,low,"images/diascia_0.jpg, images/diascia_1.jpg, images/diascia_2.jpg, images/diascia_3.jpg, images/diascia_4.jpg, images/diascia_5.jpg, images/diascia_6.jpg, images/diascia_7.jpg, images/diascia_8.jpg"
Dicentra (Bleeding Heart),Perennials,"Dicentra flowers are usually red, pink and white.",2-9,"Spring, Summer",Dicentra usually reach 90 cm (3 ft) in height.,"Dicentra prefer moist, but well drained soil. The soil should be organic and slightly acidic.","Partial sun, Shade",avarage,low,"images/dicentra_0.jpg, images/dicentra_1.jpg, images/dicentra_2.jpg, images/dicentra_3.jpg, images/dicentra_4.jpg, images/dicentra_5.jpg, images/dicentra_6.jpg"
Dietes (Dietes),Perennials,"Dietes flowers are white to creamy yellow in color, with brown, yellow and purple markings on the tepals.",8-11,"Spring, Autumn, Winter, Summer",This plant grows up to 150 cm (5 ft) tall.,"These plants are not fussy about soil type, but will perform best in rich, moist and well drained soil.","Full sun, Partial sun",avarage,low,"images/dietes_0.jpg, images/dietes_1.jpg, images/dietes_2.jpg, images/dietes_3.jpg, images/dietes_4.jpg, images/dietes_5.jpg, images/dietes_6.jpg, images/dietes_7.jpg, images/dietes_8.jpg"
Digitalis (Foxglove),Perennials,"Digitalis flowers appear in shades of white, yellow, pink, red and purple.",4-9,"Spring, Summer","Foxgloves are tall beauties which can grow up to 180 cm (6 ft), depending on variety.","The plant grows best in moist and well drained soil, with a pH between 6 and 7.5.","Full sun, Partial sun, Shade",avarage,low,"images/digitalis_0.jpg, images/digitalis_1.jpg, images/digitalis_2.jpg, images/digitalis_3.jpg, images/digitalis_4.jpg, images/digitalis_5.jpg, images/digitalis_6.jpg, images/digitalis_7.jpg, images/digitalis_8.jpg, images/digitalis_9.jpg, images/digitalis_10.jpg"
Dracula (Monkey Orchid),Perennials,"Dracula plants come in various colors, such as red, purple, lavender, yellow and white. They range from nearly black to white.",9-11,"Spring, Autumn, Winter, Summer",The plant can grow up to 60 cm (2 ft) tall.,"Dracula requires moist, well-drained soil and high humidity. The recommended soil pH is 5.5 to 7.0, depending on species.",Partial sun,avarage,medium,"images/dracula_0.jpg, images/dracula_1.jpg, images/dracula_2.jpg, images/dracula_3.jpg, images/dracula_4.jpg, images/dracula_5.jpg, images/dracula_6.jpg, images/dracula_7.jpg, images/dracula_8.jpg, images/dracula_9.jpg"
Dryas (Mountain Avens; Holtasoley),"Perennials, Shrubs","Dryas flowers are usually white or cream, with yellow centre.",3-9,"Spring, Summer","Dryas is a small plant, growing only 20 cm (8 inches) in height.","The plant can grow in many different soil types and pH levels, but requires good drainage.","Full sun, Partial sun",avarage,medium,"images/dryas_0.jpg, images/dryas_1.jpg, images/dryas_2.jpg, images/dryas_3.jpg, images/dryas_4.jpg, images/dryas_5.jpg, images/dryas_6.jpg, images/dryas_7.jpg, images/dryas_8.jpg, images/dryas_9.jpg, images/dryas_10.jpg, images/dryas_11.jpg, images/dryas_12.jpg"
Echeveria (Hen and Chicks),Cactus - Succulents,Echeveria has beautiful leaves and stunning flowers in a large variety of colors.,9-11,"Spring, Autumn, Winter, Summer",Echeverias can grow from 10 cm to 60 cm (4 inches to 2 ft) high.,"Echeverias grow best in well drained soil, with a slightly acidic pH.","Full sun, Partial sun",low,low,"images/echeveria_0.jpg, images/echeveria_1.jpg, images/echeveria_2.jpg, images/echeveria_3.jpg, images/echeveria_4.jpg, images/echeveria_5.jpg, images/echeveria_6.jpg, images/echeveria_7.jpg"
